Type Name,Cyclomatic Complexity,Exception Handlers,Exception Throws,Method Length,Locals Variables,Object Instantiations,Stack Size,Number Of Fields,Number Of Methods,Nested Types,Properties,Depth In Tree,Total Toxicity
Win32Native,0,0,0,0,0,0,7.4,24.3,10.1,21.5,0,0,63
StreamReader,18.8,0,0,2.2,0,0,36.2,1.9,1.6,0,0,0,62
ResourceManager,25.8,0,1.33333333333333,1.53,1.2,0,24.8,2.8,1.8,0,0,0,62
Environment,22.4,0,1.66666666666667,0,0,1.16666666666667,25.2,1.4,3.15,2,2.6,0,62
DirectoryInfo,2,0,1.66666666666667,1.035,0,1.16666666666667,52.4,0,2.25,0,0,0,61
ObjRef,14.4,0,0,2.3375,0,0,40,1.2,2,0,0,0,61
UnmanagedMemoryStream,16,0,9.66666666666667,0,0,3.66666666666667,28.8,0,1.45,0,0,0,61
TextInfo,3.2,0,0,0,0,0,52,1.3,2.35,0,0,0,60
RealProxy,17.2,0,3,1.5225,2.46666666666667,1.83333333333333,31.2,0,1.95,0,0,0,60
RuntimeModule,10,0,5.66666666666667,2.12,2.26666666666667,0,36,0,2.25,0,0,0,60
ILGenerator,15.8,0,1.33333333333333,1.085,0,0,32,2.7,3.5,0,0,0,60
Module,2.6,0,0,0,0,0,54,0,2.65,0,0,0,59
AssemblyName,2,0,0,1.115,0,0,50.2,1.3,2.4,0,1.1,0,59
HijriCalendar,3.4,2,0,0,0,0,48.8,1.7,1.8,0,0,0,59
DateTimeOffset,0,0,0,0,0,0,51,0,4.05,0,2,0,58
Activator,3.4,0,1.66666666666667,0,0,0,51.6,0,1.75,0,0,0,58
Identity,2.6,0,0,0,0,0,50.6,2.2,1.95,0,1.3,0,58
ConstructorCallMessage,0,0,0,0,0,0,52.8,1.2,1.7,0,1.8,0,57
RuntimeTypeHandle,1.4,0,0,0,0,0,49,0,5.95,0,0,0,57
JapaneseCalendar,4.2,0,0,0,0,0,50.6,0,1.8,0,0,0,57
SortedList,1.2,0,1.33333333333333,0,0,0,47.2,0,2.1,2.5,0,0,57
ASCIIEncoding,30.8,0,4,1.4975,0,0,17.2,0,1.1,0,0,0,56
StringExpressionSet,23.2,0,0,0,0,0,29.6,0,1.8,0,0,0,56
HebrewCalendar,2.8,0,0,1.1175,0,0,46.8,1.7,1.85,0,0,0,55
IsolatedStorageFileStream,4.2,1.33333333333333,1.33333333333333,1.0925,0,0,45,0,1.7,0,0,0,55
CommonSecurityDescriptor,7.2,0,1.33333333333333,0,0,0,44.4,0,1.55,0,1.3,0,55
SecurityPermissionAttribute,0,0,0,0,0,0,51.2,0,1.6,0,1.5,0,54
Task<TResult>,0,0,0,0,0,0,51.6,0,1.9,0,0,0,54
Context,8.6,0,0,0,0,0,38.4,2.1,2.55,0,1.1,0,54
Number,35,0,1.33333333333333,3.31,1.33333333333333,0,8.8,0,2.05,0,0,0,54
FieldInfo,1.2,0,0,0,0,0,48,0,1.95,0,1.9,0,53
Int16,3.8,0,0,0,0,0,48,0,1.7,0,0,0,53
WaitHandle,6.2,0,5.33333333333333,0,0,0,40,0,1.85,0,0,0,53
SByte,3.8,0,0,0,0,0,48,0,1.7,0,0,0,53
SecurityElement,11.2,0,1.33333333333333,1.355,0,0,32.8,1.3,2.25,0,0,0,52
PersianCalendar,3.2,0,0,0,0,0,44.8,1.7,1.7,0,0,0,52
PropertyBuilder,0,0,0,0,0,0,50.8,0,1.7,0,0,0,52
Variant,4,0,0,3.0925,0,8.83333333333333,27.2,4.5,1.5,0,0,0,51
SerializationInfo,3,0,0,0,0,0,43.2,1.1,2.6,0,0,0,51
MetadataImport,0,0,0,0,0,0,48.2,0,3.45,0,0,0,51
JulianCalendar,6.2,0,0,0,0,0,42.6,0,1.6,0,0,0,51
ReadOnlyCollection<T>,2.2,0,0,0,0,0,46.4,0,1.6,0,0,0,50
DateTimeFormat,23.4,0,0,3.7075,1.4,0,17.8,0,1.1,0,0,0,50
CustomAttributeBuilder,16.8,0,8,5.385,0,4.33333333333333,14.4,0,0,0,0,0,50
CodeGroup,13,0,0,2.5625,0,0,30,0,1.9,0,0,0,49
FrameSecurityDescriptor,6.2,1.33333333333333,1.33333333333333,1.34,0,0,36.4,1.1,1.5,0,0,0,49
SecurityManager,16,0,2,1.0825,0,4.16666666666667,23.6,0,1.4,0,0,0,49
GregorianCalendarHelper,13.8,0,0,0,0,0,30,2.7,1.5,0,0,0,49
UInt16,0,0,0,0,0,0,48,0,1.65,0,0,0,49
Utils,22,0,4.66666666666667,1.0625,0,1.5,13.6,0,3.5,0,0,0,49
Byte,0,0,0,0,0,0,48,0,1.65,0,0,0,49
DBCSCodePageEncoding,27,0,0,7.055,2.73333333333333,0,9.6,0,0,0,0,0,48
PseudoCustomAttribute,31,0,0,0,0,0,14.4,0,1.15,0,0,0,48
ParameterInfo,2.4,0,1.66666666666667,0,0,0,41.6,0,1.4,0,1.3,0,48
RuntimePropertyInfo,1.2,0,0,0,0,0,43.2,1.3,1.9,0,1.3,0,48
UnmanagedMemoryAccessor,10.8,0,14.3333333333333,0,0,3.83333333333333,14.4,0,2.2,0,0,0,47
UInt32,0,0,0,0,0,0,46.4,0,1.55,0,0,0,47
MethodOnTypeBuilderInstantiation,0,0,0,0,0,0,44.8,0,1.45,0,1.5,0,47
MemoryStream,11.8,0,6,0,0,0,26.8,0,1.65,0,0,0,47
StackBasedReturnMessage,0,0,0,0,0,0,44.8,0,1.45,0,1.6,0,47
Int32,0,0,0,0,0,0,46.4,0,1.55,0,0,0,47
UInt64,0,0,0,0,0,0,46.4,0,1.55,0,0,0,47
Int64,0,0,0,0,0,0,46.4,0,1.55,0,0,0,47
ModuleHandle,3.6,0,0,0,0,0,40.4,0,2.1,0,0,0,46
StreamWriter,10.2,0,2.66666666666667,0,0,0,30.8,1.6,1.35,0,0,0,46
ThaiBuddhistCalendar,0,0,0,0,0,0,45,0,1.4,0,0,0,46
MethodBuilderInstantiation,0,0,0,0,0,0,43.2,0,1.4,0,1.4,0,46
TaiwanCalendar,0,0,0,0,0,0,44.6,0,1.45,0,0,0,46
RemotingConfigHandler,8.8,0,1.33333333333333,0,0,0,29.6,0,1.75,0,0,0,45
CryptoConfig,21.4,0,1.33333333333333,8.6025,2.33333333333333,0,8,0,0,0,0,0,45
ObjectSecurity,1.4,0,0,0,0,0,38.2,0,2.5,0,1.3,0,44
KoreanCalendar,0,0,0,0,0,0,43.4,0,1.4,0,0,0,44
CollectionBase,0,0,0,0,0,0,41.6,0,1.55,0,0,0,43
MulticastDelegate,13,0,0,0,0,0,27,0,1.75,0,0,0,43
DirectoryObjectSecurity,12.2,0,1.66666666666667,6.6175,0,1.33333333333333,18.4,0,1.1,0,0,0,43
GB18030Encoding,17.2,0,0,3.9575,0,0,18.8,0,0,0,0,1.25,43
RIPEMD160Managed,2.2,0,0,20.825,0,0,14,0,0,0,0,0,43
Collection<T>,2.2,0,0,0,0,0,40,0,1.7,0,0,0,43
CustomAttributeData,8.8,0,0,3.655,0,3.16666666666667,23.4,0,1.65,0,0,0,43
NetCodeGroup,18.2,0,0,1.135,0,0,19.2,0,1.45,0,0,0,42
ChannelServices,17.8,0,1.33333333333333,1.105,0,1.16666666666667,17.6,0,1.6,0,0,0,42
PolicyStatement,9.4,0,0,1.13,0,2.33333333333333,25.6,0,1.35,0,0,0,41
DictionaryBase,0,0,0,0,0,0,40,0,1.45,0,0,0,41
ThreadPool,1.2,0,0,0,0,0,36.6,0,2.7,0,0,0,41
EastAsianLunisolarCalendar,8.4,0,0,0,0,0,27.4,1.3,2.25,0,0,0,41
